"id","date","assetid","assetname","telemetryid","telemetryname","containerid","sensorid","value","valueasstr","datatype","tenantid","timeseriedataloglabelrelationid"
"906577ca-e262-4972-a795-76daf9d3b981",2022-11-15 18:07:59.737,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.81,"24.81",0,d06de686-be8e-4504-070c-08da59c702e6,
c842f3a9-e50f-4014-b4d0-2a536e5a04e2,2022-11-15 18:12:28.397,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.80,"24.80",0,d06de686-be8e-4504-070c-08da59c702e6,
afd0363f-787f-49c0-bbdf-1861b61ef326,2022-11-15 18:12:28.397,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.80,"24.80",0,d06de686-be8e-4504-070c-08da59c702e6,
"2c9473f9-f762-4825-8115-5074df7e408c",2022-11-15 18:12:28.397,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.80,"24.80",0,d06de686-be8e-4504-070c-08da59c702e6,
dac0c010-675f-4eaf-a022-5eb3d0a9586d,2022-11-15 18:16:57.339,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.79,"24.79",0,d06de686-be8e-4504-070c-08da59c702e6,
"2d1d687d-f3c8-4f06-9ed1-d7250c1d64de",2022-11-15 18:16:57.339,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.79,"24.79",0,d06de686-be8e-4504-070c-08da59c702e6,
fcae73b8-2cbd-4be1-a52f-c3add6e78e24,2022-11-15 18:16:57.339,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.79,"24.79",0,d06de686-be8e-4504-070c-08da59c702e6,
"2ffa48f7-a2c2-466c-acc9-98019f98f7ae",2022-11-15 18:21:27.987,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.78,"24.78",0,d06de686-be8e-4504-070c-08da59c702e6,
d8d3c493-1bf9-4164-9765-d22be5012f87,2022-11-15 18:21:27.987,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.78,"24.78",0,d06de686-be8e-4504-070c-08da59c702e6,
b332a273-a533-4f45-8f45-9f5eb71a3cf7,2022-11-15 18:21:27.987,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.78,"24.78",0,d06de686-be8e-4504-070c-08da59c702e6,
